timestamp,customer_id,amount,avg_user_amount,amount_deviation,tx_velocity,tx_history,new_beneficiary,device,location,city,home_city,channel,merchant_category,kyc_tier,is_holiday,hour,account_type,is_international,is_first_time_international,seconds_since_prev_tx,scenario_tag,is_anomaly
2025-10-21T17:39:23,C00838,29831.2,39527.6,-9696.4,6,806,0,trusted_device,same_city,Multan,Multan,Easypaisa,Fuel,medium,0,17,domestic_only,0,0,471636,normal,0
2025-10-26T12:29:07,C00032,79094.4,81874.8,-2780.4,1,1294,1,trusted_device,same_city,Karachi,Karachi,ATM,P2P,medium,1,12,domestic_only,0,0,973483,normal,0
2025-07-30T08:15:34,C00449,7702.8,11734.8,-4034.8,18,31,1,new_device,different_city,Hyderabad,Rawalpindi,ATM,Cash,low,1,8,domestic_only,0,0,2061166,rapid_atm_multi_location,1
2025-10-06T10:11:21,C00532,18233.6,21613.2,-3376.8,4,65,0,new_device,same_city,Islamabad,Islamabad,Raast,Fuel,low,0,10,domestic_only,0,0,2606106,normal,0
2025-06-03T13:18:52,C00018,18650.8,17192.0,1456.0,0,91,1,emulated_device,different_city,Karachi,Lahore,ATM,Healthcare,medium,0,13,domestic_only,0,0,3182646,normal,0
2025-12-05T14:40:56,C00309,52774.4,56484.4,-3710.0,2,1195,0,trusted_device,same_city,Sialkot,Sialkot,IBFT,P2P,medium,0,14,domestic_only,0,0,1131831,normal,0
2025-05-31T06:58:34,C00814,35257.6,29388.8,5866.0,1,92,0,new_device,same_city,Faisalabad,Faisalabad,1LINK,Dining,low,1,6,domestic_only,0,0,7488651,normal,0
2025-05-19T11:03:25,C00462,120671.6,98907.2,21764.4,4,763,0,trusted_device,same_city,Sialkot,Sialkot,Easypaisa,Others,low,0,11,domestic_only,0,0,2841076,normal,0
2025-04-09T17:50:10,C00071,30184.0,24189.2,5994.8,1,73,0,new_device,same_city,Rawalpindi,Rawalpindi,IBFT,Healthcare,medium,0,17,domestic_only,0,0,4686480,normal,0
2025-04-11T15:48:28,C00376,35246.4,38855.6,-3606.4,3,169,0,emulated_device,same_city,Lahore,Lahore,Easypaisa,Dining,low,0,15,domestic_only,0,0,342320,normal,0
2025-08-28T06:13:04,C00761,6129.2,5930.4,198.8,0,112,1,trusted_device,same_city,Karachi,Karachi,1LINK,Dining,low,1,6,domestic_only,0,0,3168606,normal,0
2025-01-27T15:47:34,C00614,10452.4,11561.2,-1108.8,4,1280,0,trusted_device,same_city,Sialkot,Sialkot,POS,Others,low,1,15,domestic_only,0,0,0,normal,0
2025-03-11T07:46:42,C00112,20468.0,19667.2,800.8,18,2305,0,trusted_device,same_city,Multan,Multan,App,Cash,low,0,7,domestic_only,0,0,2581793,normal,0
2025-01-12T09:20:19,C00612,9576.0,11074.0,-1498.0,2,255,0,trusted_device,same_city,Sialkot,Sialkot,App,Cash,low,0,9,domestic_only,0,0,0,normal,0
2025-06-11T11:39:16,C00709,40460.0,40686.8,-226.8,6,433,0,trusted_device,same_city,Faisalabad,Faisalabad,IBFT,Dining,low,0,11,domestic_only,0,0,440191,normal,0
2025-03-01T11:59:45,C00559,15976.8,14907.2,1069.6,16,2831,0,trusted_device,same_city,Karachi,Karachi,Raast,P2P,medium,1,11,domestic_only,0,0,2947237,normal,0
2025-06-11T15:48:22,C00201,71066.8,68409.6,2657.2,0,722,1,new_device,same_city,Quetta,Quetta,App,Groceries,low,0,15,domestic_only,0,0,81384,normal,0
2025-11-08T09:47:17,C00686,36878.8,47322.8,-10444.0,6,373,0,new_device,same_city,Sialkot,Sialkot,ATM,Cash,medium,0,9,domestic_only,0,0,2672868,normal,0
2025-11-04T10:00:10,C00431,21926.8,23304.4,-1374.8,11,865,0,trusted_device,same_city,Lahore,Lahore,IBFT,Healthcare,medium,0,10,domestic_only,0,0,2927325,normal,0
2025-11-19T12:12:27,C00475,22696.8,18146.8,4550.0,0,228,0,trusted_device,same_city,Karachi,Karachi,ATM,Groceries,high,0,12,domestic_only,0,0,100290,normal,0
