timestamp,customer_id,amount,avg_user_amount,amount_deviation,tx_velocity,tx_history,new_beneficiary,device,location,city,home_city,channel,merchant_category,kyc_tier,is_holiday,hour,is_anomaly
2025-11-26T13:46:09,C00815,91688.8,99520.4,-7831.6,1,907,0,new_device,same_city,Rawalpindi,Rawalpindi,JazzCash,P2P,medium,1,13,0
2025-04-14T16:46:51,C00441,192376.8,33546.8,158830.0,0,254,0,trusted_device,same_city,Lahore,Lahore,Raast,Travel,medium,0,16,1
2025-04-26T14:42:54,C00639,39972.8,40213.6,-238.0,17,2413,0,trusted_device,same_city,Hyderabad,Hyderabad,Easypaisa,Healthcare,low,1,14,0
2025-05-10T14:43:15,C00548,17071.6,26373.2,-9301.6,0,298,0,new_device,same_city,Multan,Multan,Easypaisa,Utilities,medium,0,14,0
2025-08-24T13:12:06,C00539,26608.4,26916.4,-308.0,7,2108,0,trusted_device,same_city,Sialkot,Sialkot,IBFT,Travel,medium,0,13,0
2025-10-31T10:52:18,C00604,20146.0,18368.0,1778.0,0,729,0,trusted_device,same_city,Karachi,Karachi,Easypaisa,Utilities,low,1,10,0
2025-12-28T16:38:30,C00520,17172.4,16895.2,277.2,15,1682,1,trusted_device,same_city,Quetta,Quetta,Raast,Utilities,low,1,16,0
2025-12-02T12:36:40,C00797,16690.8,21534.8,-4841.2,0,133,0,trusted_device,same_city,Islamabad,Islamabad,POS,Dining,low,0,12,0
2025-03-31T08:44:58,C00462,85528.8,93760.8,-8232.0,3,758,0,new_device,same_city,Sialkot,Sialkot,Easypaisa,Utilities,low,1,8,0
2025-12-21T14:42:42,C00709,41776.0,40370.4,1408.4,0,433,0,trusted_device,same_city,Faisalabad,Faisalabad,App,P2P,low,0,14,0
2025-07-06T20:02:46,C00193,39247.6,12686.8,26560.8,0,91,1,trusted_device,same_city,Rawalpindi,Rawalpindi,App,Fuel,medium,0,20,1
2025-12-26T11:05:41,C00052,54983.6,60743.2,-5756.8,4,407,0,trusted_device,same_city,Multan,Multan,Easypaisa,Dining,medium,1,11,0
2025-08-18T08:33:38,C00347,20613.6,21921.2,-1307.6,14,2207,0,trusted_device,same_city,Rawalpindi,Rawalpindi,JazzCash,Groceries,low,0,8,0
2025-07-05T19:56:41,C00512,63014.0,60950.4,2060.8,1,530,0,trusted_device,same_city,Peshawar,Peshawar,Raast,Groceries,high,0,19,0
2025-03-31T17:38:32,C00894,25236.4,27986.0,-2749.6,4,205,0,trusted_device,same_city,Islamabad,Islamabad,1LINK,Groceries,medium,1,17,0
2025-05-28T17:26:45,C00237,36584.8,38670.8,-2088.8,3,784,0,trusted_device,same_city,Lahore,Lahore,App,P2P,medium,1,17,0
2025-08-22T11:35:20,C00350,170900.8,18855.2,152045.6,0,71,1,trusted_device,same_city,Rawalpindi,Rawalpindi,ATM,Fuel,low,0,11,1
2025-01-02T13:33:33,C00125,58511.6,55546.4,2965.2,1,565,0,trusted_device,different_city,Lahore,Quetta,Raast,Dining,medium,0,13,0
2025-02-04T11:14:07,C00470,30769.2,29766.8,1005.2,2,404,0,trusted_device,same_city,Faisalabad,Faisalabad,1LINK,Dining,medium,0,11,0
2025-08-26T06:57:30,C00780,21347.2,21450.8,-103.6,2,57,1,trusted_device,same_city,Islamabad,Islamabad,POS,Utilities,medium,1,6,0
2025-05-17T10:00:42,C00457,83809.6,81062.8,2746.8,0,336,0,trusted_device,different_city,Hyderabad,Quetta,Easypaisa,Healthcare,low,0,10,0
2025-02-01T18:11:51,C00842,83011.6,92237.6,-9226.0,2,1084,0,trusted_device,same_city,Quetta,Quetta,1LINK,P2P,low,1,18,0
2025-04-03T23:44:24,C00411,7562.8,5101.6,2461.2,3,82,0,emulated_device,same_city,Faisalabad,Faisalabad,ATM,Electronics,high,0,23,1
2025-11-11T12:33:53,C00585,16111.2,15562.4,551.6,14,2386,0,trusted_device,same_city,Islamabad,Islamabad,POS,P2P,low,0,12,0
2025-08-01T10:49:35,C00556,88326.0,12978.0,75348.0,11,675,0,trusted_device,same_city,Peshawar,Peshawar,App,Utilities,high,1,10,1
2025-04-21T21:24:35,C00173,23088.8,22498.0,590.8,3,1367,0,new_device,same_city,Peshawar,Peshawar,IBFT,Electronics,low,0,21,0
2025-08-10T13:32:21,C00225,23136.4,33521.6,-10385.2,3,210,0,trusted_device,same_city,Islamabad,Islamabad,Raast,Groceries,high,0,13,0
2025-11-28T17:22:57,C00501,14439.6,15372.0,-932.4,7,2017,0,trusted_device,same_city,Sialkot,Sialkot,JazzCash,Utilities,high,1,17,0
2025-08-07T10:46:17,C00027,160056.4,108469.2,51587.2,5,327,0,trusted_device,same_city,Rawalpindi,Rawalpindi,Easypaisa,Travel,low,0,10,0
2025-04-22T13:01:54,C00326,30021.6,28495.6,1528.8,12,2046,0,trusted_device,same_city,Multan,Multan,Easypaisa,Groceries,medium,0,13,0
2025-04-08T12:56:20,C00537,12801.6,17074.4,-4272.8,0,78,0,trusted_device,same_city,Faisalabad,Faisalabad,ATM,Education,medium,0,12,0
